SKU,Name1,Name2
SKU20240413_063618_MAKE AMERICA KIND AGAIN,MAKE AMERICA,KIND AGAIN
SKU20240413_063619_BLIND FAITH IN BAD LEADERS IS NOT PATRIOTISM,BLIND FAITH IN BAD,LEADERS IS NOT PATRIOTISM
SKU20240413_063620_NO WEAPON FORMED AGAINST ME SHALL PROSPER,NO WEAPON FORMED,AGAINST ME SHALL PROSPER
SKU20240413_063621_EQUAL RIGHTS FOR OTHERS DOES NOT MEAN LESS RIGHTS FOR YOU,EQUAL RIGHTS FOR OTHERS DOES,NOT MEAN LESS RIGHTS FOR YOU
SKU20240413_063622_FIGHT FOR THOSE WITHOUT YOUR PRIVILEGE,FIGHT FOR THOSE,WITHOUT YOUR PRIVILEGE
SKU20240413_063623_WHEN INJUSTICE BECOMES LAW RESISTANCE BECOMES DUTY,"WHEN INJUSTICE BECOMES LAW,",RESISTANCE BECOMES DUTY
SKU20240413_063624_HONK IF YOU LOVE JESUS,HONK IF YOU,LOVE JESUS
SKU20240413_063625_HONK IF YOU LOVE CHEESES,HONK IF YOU,LOVE CHEESES
SKU20240413_063626_I PREFER DANGEROUS LIBERTY TO PEACEFUL SERVITUDE,I PREFER DANGEROUS LIBERTY,TO PEACEFUL SERVITUDE
SKU20240413_063627_MAY PEACE PREVAIL ON EARTH,MAY PEACE,PREVAIL ON EARTH
SKU20240413_063628_SAVE THE BEES,SAVE THE,BEES
SKU20240413_063629_JESUS IS LORD,JESUS IS,LORD
SKU20240413_063630_DRIVE CAREFULLY THERE IS NO HEAVEN,DRIVE CAREFULLY,THERE IS NO HEAVEN
SKU20240413_063631_I THINK THEREFORE IM DANGEROUS,I THINK THEREFORE,I'M DANGEROUS
SKU20240413_063632_DO NOT MISTAKE AUTHORITY FOR TRUTH,DO NOT MISTAKE,AUTHORITY FOR TRUTH
SKU20240413_063633_TRY BEING INFORMED NOT JUST OPINIONATED,TRY BEING INFORMED,NOT JUST OPINIONATED
SKU20240413_063634_MAKE RACISM WRONG AGAIN,MAKE RACISM,WRONG AGAIN
SKU20240413_063635_THEY WHO GIVE UP LIBERTY FOR SAFETY DESERVE NEITHER,THEY WHO GIVE UP LIBERTY,FOR SAFETY DESERVE NEITHER
SKU20240413_063636_LESS GOVERNMENT MORE FREEDOM,LESS GOVERNMENT,MORE FREEDOM
SKU20240413_063637_FIGHT CENSORSHIP,FIGHT,CENSORSHIP
SKU20240413_063638_TRUST GOD NOT GOVERNMENT,TRUST GOD NOT,GOVERNMENT
SKU20240413_063639_SURE YOU CAN TRUST THE GOVERNMENT,"SURE, YOU CAN TRUST",THE GOVERNMENT
SKU20240413_063640_ONLY YOU CAN PREVENT COMMUNISM,ONLY YOU CAN,PREVENT COMMUNISM
SKU20240413_063641_REAL TRUCKS DONT SHIFT THEMSELVES,REAL TRUCKS DON'T,SHIFT THEMSELVES
SKU20240413_063643_THERES NO WAY I WAS BORN JUST TO PAY BILLS AND DIE,THERE'S NO WAY I WAS BORN,JUST TO PAY BILLS AND DIE
SKU20240413_063644_COOL MOTIVE STILL MURDER,COOL MOTIVE,STILL MURDER
SKU20240413_063645_I LOVE MY COUNTRY BUT FEAR GOVERNMENT,I LOVE MY COUNTRY,BUT FEAR GOVERNMENT
SKU20240413_063646_MAKE EMPATHY COOL AGAIN,MAKE EMPATHY,COOL AGAIN
SKU20240413_063647_AND ALL I LOVED I LOVED ALONE,"AND ALL I LOVED,",I LOVED ALONE
SKU20240413_063648_WILL TRADE POLITICIANS FOR REFUGEES,WILL TRADE,POLITICIANS FOR REFUGEES
SKU20240413_063649_I RUN ON COFFEE CHAOS AND CUSS WORDS,I RUN ON COFFEE,CHAOS AND CUSS WORDS
SKU20240413_063650_BOYS WILL BE HELD ACCOUNTABLE FOR THEIR ACTIONS,BOYS WILL BE HELD,ACCOUNTABLE FOR THEIR ACTIONS
SKU20240413_063651_COFFEE SAVES LIVES JUST ASK MY CHILDREN,COFFEE SAVES LIVES,JUST ASK MY CHILDREN
SKU20240413_063652_I NEED COFFEE RIGHT NOW,I NEED COFFEE,RIGHT NOW
SKU20240413_063653_IM NOT BOSSY I JUST HAVE BETTER IDEAS,I'M NOT BOSSY I JUST,HAVE BETTER IDEAS
SKU20240413_063654_YOU CAN TOTALLY DO THIS,YOU CAN,TOTALLY DO THIS
SKU20240413_063655_BUT FIRST COFFEE,"BUT FIRST,",COFFEE
SKU20240413_063656_WOMEN MAKE POLICY NOT COFFEE,WOMEN MAKE,POLICY NOT COFFEE
SKU20240413_063657_SOME WOMEN FEAR THE FIRE OTHER SIMPLY BECOME IT,SOME WOMEN FEAR THE FIRE,OTHER SIMPLY BECOME IT
SKU20240413_063658_NOT YOUR MOM NOT YOUR MILK,NOT YOUR MOM,NOT YOUR MILK
SKU20240413_063659_MY EMOTIONAL SUPPORT BEVERAGE,MY EMOTIONAL,SUPPORT BEVERAGE
SKU20240413_063700_THIS NURSE RUNS ON JESUS AND COFFEE,THIS NURSE RUNS ON,JESUS AND COFFEE
SKU20240413_063701_LOVE JESUS COFFEE AND NAPS,LOVE JESUS,COFFEE AND NAPS
