Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Included / Vietnam,Price / Vietnam,Compare At Price / Vietnam,Status
6pcs5in-make-america-kind-again-bumper-sticker,6pcs(5IN) Make America Kind Again Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_063618,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/ncKwpCVw/SKU20240413-063618-MAKE-AMERICA-KIND-AGAIN-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-make-america-kind-again-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/ydqFDyvh/SKU20240413-063618-MAKE-AMERICA-KIND-AGAIN-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-make-america-kind-again-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/nVXCyD2p/SKU20240413-063618-MAKE-AMERICA-KIND-AGAIN-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-blind-faith-in-bad-leaders-is-not-patriotism-bumper-sticker,6pcs(5IN) Blind Faith in Bad Leaders is Not Patriotism Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_063619,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/133xdp0K/SKU20240413-063619-BLIND-FAITH-IN-BAD-LEADERS-IS-NOT-PATRIOTISM-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-blind-faith-in-bad-leaders-is-not-patriotism-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/L8wyVfx5/SKU20240413-063619-BLIND-FAITH-IN-BAD-LEADERS-IS-NOT-PATRIOTISM-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-blind-faith-in-bad-leaders-is-not-patriotism-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/1z0pNNTL/SKU20240413-063619-BLIND-FAITH-IN-BAD-LEADERS-IS-NOT-PATRIOTISM-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-no-weapon-formed-against-me-shall-prosper-bumper-sticker,6pcs(5IN) No Weapon Formed Against Me Shall Prosper Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_063620,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/vH6xVVx3/SKU20240413-063620-NO-WEAPON-FORMED-AGAINST-ME-SHALL-PROSPER-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-no-weapon-formed-against-me-shall-prosper-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/PJnbLQrs/SKU20240413-063620-NO-WEAPON-FORMED-AGAINST-ME-SHALL-PROSPER-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-no-weapon-formed-against-me-shall-prosper-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/gJWr8SRD/SKU20240413-063620-NO-WEAPON-FORMED-AGAINST-ME-SHALL-PROSPER-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-equal-rights-for-others-does-not-mean-less-rights-for-you-bumper-sticker,6pcs(5IN) Equal Rights for Others Does Not Mean Less Rights for You Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_063621,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/kDrHgbLB/SKU20240413-063621-EQUAL-RIGHTS-FOR-OTHERS-DOES-NOT-MEAN-LESS-RIGHTS-FOR-YOU-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-equal-rights-for-others-does-not-mean-less-rights-for-you-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/yxhGWdKj/SKU20240413-063621-EQUAL-RIGHTS-FOR-OTHERS-DOES-NOT-MEAN-LESS-RIGHTS-FOR-YOU-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-equal-rights-for-others-does-not-mean-less-rights-for-you-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/jjzPpJ4M/SKU20240413-063621-EQUAL-RIGHTS-FOR-OTHERS-DOES-NOT-MEAN-LESS-RIGHTS-FOR-YOU-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
