Handle;Title;Body (HTML);Vendor;Product Category;Type;Tags;Published;Option1 Name;Option1 Value;Option2 Name;Option2 Value;Option3 Name;Option3 Value;Variant SKU;Variant Grams;Variant Inventory Tracker;Variant Inventory Qty;Variant Inventory Policy;Variant Fulfillment Service;Variant Price;Variant Compare At Price;Variant Requires Shipping;Variant Taxable;Variant Barcode;Image Src;Image Position;Image Alt Text;Gift Card;SEO Title;SEO Description;Google Shopping / Google Product Category;Google Shopping / Gender;Google Shopping / Age Group;Google Shopping / MPN;Google Shopping / Condition;Google Shopping / Custom Product;Google Shopping / Custom Label 0;Google Shopping / Custom Label 1;Google Shopping / Custom Label 2;Google Shopping / Custom Label 3;Google Shopping / Custom Label 4;Variant Image;Variant Weight Unit;Variant Tax Code;Cost per item;Included / United States;Price / United States;Compare At Price / United States;Included / International;Price / International;Compare At Price / International;Included / Vietnam;Price / Vietnam;Compare At Price / Vietnam;Status
6pcs5in-no-baby-on-board-so-please-feel-free-to-run-into-me-bumper-sticker;6pcs(5IN) No Baby On Board So Please Feel Free to Run Into Me Bumper Sticker;6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack);Chansenchine;Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers;;;TRUE;Title;Default Title;;;;;SKU20240412_094904;0.0;shopify;50;continue;manual;13.00;16.00;TRUE;TRUE;;https://i.postimg.cc/8kmdT9nX/SKU20240412-094904-NO-BABY-ON-BOARD-SO-PLEASE-FEEL-FREE-TO-RUN-INTO-ME-copy.jpg;1;;FALSE;;;;;;;;;;;;;;;kg;;;TRUE;;;TRUE;;;TRUE;;;active
6pcs5in-no-baby-on-board-so-please-feel-free-to-run-into-me-bumper-sticker;;;;;;;;;;;;;;;;;;;;;;;;;https://i.postimg.cc/wMngC0JX/SKU20240412-094904-NO-BABY-ON-BOARD-SO-PLEASE-FEEL-FREE-TO-RUN-INTO-ME-copy.jpg;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6pcs5in-no-baby-on-board-so-please-feel-free-to-run-into-me-bumper-sticker;;;;;;;;;;;;;;;;;;;;;;;;;https://i.postimg.cc/yN6xXpTx/SKU20240412-094904-NO-BABY-ON-BOARD-SO-PLEASE-FEEL-FREE-TO-RUN-INTO-ME-copy.jpg;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6pcs5in-keep-honking-im-deaf-bumper-sticker;6pcs(5IN) Keep honking, I'm Deaf! Bumper Sticker;6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack);Chansenchine;Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers;;;TRUE;Title;Default Title;;;;;SKU20240412_094905;0.0;shopify;50;continue;manual;13.00;16.00;TRUE;TRUE;;https://i.postimg.cc/TYG0zSnQ/SKU20240412-094905-KEEP-HONKING-IM-DEAF-copy.jpg;1;;FALSE;;;;;;;;;;;;;;;kg;;;TRUE;;;TRUE;;;TRUE;;;active
6pcs5in-keep-honking-im-deaf-bumper-sticker;;;;;;;;;;;;;;;;;;;;;;;;;https://i.postimg.cc/15fX3R0z/SKU20240412-094905-KEEP-HONKING-IM-DEAF-copy.jpg;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6pcs5in-keep-honking-im-deaf-bumper-sticker;;;;;;;;;;;;;;;;;;;;;;;;;https://i.postimg.cc/QVL2Dqk1/SKU20240412-094905-KEEP-HONKING-IM-DEAF-copy.jpg;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6pcs5in-i-brake-for-goth-girls-bumper-sticker;6pcs(5IN) I brake for goth girls Bumper Sticker;6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack);Chansenchine;Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers;;;TRUE;Title;Default Title;;;;;SKU20240412_094906;0.0;shopify;50;continue;manual;13.00;16.00;TRUE;TRUE;;https://i.postimg.cc/j2T1kjs4/SKU20240412-094906-I-BRAKE-FOR-GOTH-GIRLS-copy.jpg;1;;FALSE;;;;;;;;;;;;;;;kg;;;TRUE;;;TRUE;;;TRUE;;;active
6pcs5in-i-brake-for-goth-girls-bumper-sticker;;;;;;;;;;;;;;;;;;;;;;;;;https://i.postimg.cc/0Q0nj0s7/SKU20240412-094906-I-BRAKE-FOR-GOTH-GIRLS-copy.jpg;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6pcs5in-i-brake-for-goth-girls-bumper-sticker;;;;;;;;;;;;;;;;;;;;;;;;;https://i.postimg.cc/SRzKVDxM/SKU20240412-094906-I-BRAKE-FOR-GOTH-GIRLS-copy.jpg;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
