Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Included / Vietnam,Price / Vietnam,Compare At Price / Vietnam,Status
6pcs5in-keep-your-laws-off-my-body-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/rszXCxCh/SKU20240413-174614-KEEP-YOUR-LAWS-OFF-MY-BODY-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-keep-your-laws-off-my-body-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/tJswVypw/SKU20240413-174614-KEEP-YOUR-LAWS-OFF-MY-BODY-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-think-while-its-still-legal-bumper-sticker,6pcs(5IN) think while its still legal Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_174616,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/hhFyzdCQ/SKU20240413-174616-THINK-WHILE-ITS-STILL-LEGAL-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-think-while-its-still-legal-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/Nf7S9Ncg/SKU20240413-174616-THINK-WHILE-ITS-STILL-LEGAL-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-think-while-its-still-legal-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/mggXcBjw/SKU20240413-174616-THINK-WHILE-ITS-STILL-LEGAL-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-honk-if-you-think-im-sexy-bumper-sticker,6pcs(5IN) honk if you think i'm sexy Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_174617,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/XNF7h0wQ/SKU20240413-174617-HONK-IF-YOU-THINK-IM-SEXY-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-honk-if-you-think-im-sexy-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/1zZKGSc2/SKU20240413-174617-HONK-IF-YOU-THINK-IM-SEXY-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-honk-if-you-think-im-sexy-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/brGbXV91/SKU20240413-174617-HONK-IF-YOU-THINK-IM-SEXY-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-no-human-being-is-illegal-bumper-sticker,6pcs(5IN) no human being is illegal Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_174618,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/pTr58c73/SKU20240413-174618-NO-HUMAN-BEING-IS-ILLEGAL-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-no-human-being-is-illegal-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/tTstygX1/SKU20240413-174618-NO-HUMAN-BEING-IS-ILLEGAL-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-no-human-being-is-illegal-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/8PSWX4rf/SKU20240413-174618-NO-HUMAN-BEING-IS-ILLEGAL-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-i-never-lose-i-either-win-or-learn-bumper-sticker,6pcs(5IN) i never lose i either win or learn Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_174619,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/1tDXpxBC/SKU20240413-174619-I-NEVER-LOSE-I-EITHER-WIN-OR-LEARN-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-i-never-lose-i-either-win-or-learn-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/T3S3F2HN/SKU20240413-174619-I-NEVER-LOSE-I-EITHER-WIN-OR-LEARN-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-i-never-lose-i-either-win-or-learn-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/L6Q9g6R4/SKU20240413-174619-I-NEVER-LOSE-I-EITHER-WIN-OR-LEARN-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-the-closer-you-get-the-slower-i-go-bumper-sticker,"6pcs(5IN) The Closer You Get, The Slower I Go Bumper Sticker",6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_174620,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/yd74rwBr/SKU20240413-174620-THE-CLOSER-YOU-GET-THE-SLOWER-I-GO-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-the-closer-you-get-the-slower-i-go-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/pXmN7Qbx/SKU20240413-174620-THE-CLOSER-YOU-GET-THE-SLOWER-I-GO-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-the-closer-you-get-the-slower-i-go-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/3J469Kmx/SKU20240413-174620-THE-CLOSER-YOU-GET-THE-SLOWER-I-GO-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-my-son-is-in-the-air-force-bumper-sticker,6pcs(5IN) my son is in the air force Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_174621,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/VNYKy1rM/SKU20240413-174621-MY-SON-IS-IN-THE-AIR-FORCE-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-my-son-is-in-the-air-force-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/RFW889yd/SKU20240413-174621-MY-SON-IS-IN-THE-AIR-FORCE-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-my-son-is-in-the-air-force-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/9Q1nQrj1/SKU20240413-174621-MY-SON-IS-IN-THE-AIR-FORCE-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-wishing-i-was-fishing-bumper-sticker,6pcs(5IN) wishing i was fishing Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_174622,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/fy4HrdxW/SKU20240413-174622-WISHING-I-WAS-FISHING-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-wishing-i-was-fishing-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/RZPgzycD/SKU20240413-174622-WISHING-I-WAS-FISHING-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-wishing-i-was-fishing-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/d34yyPtM/SKU20240413-174622-WISHING-I-WAS-FISHING-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-im-so-gay-i-cant-even-drive-straight-bumper-sticker,6pcs(5IN) i'm so gay i cant even drive straight Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_174623,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/VkSCdVxT/SKU20240413-174623-IM-SO-GAY-I-CANT-EVEN-DRIVE-STRAIGHT-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-im-so-gay-i-cant-even-drive-straight-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/sfwQKzyq/SKU20240413-174623-IM-SO-GAY-I-CANT-EVEN-DRIVE-STRAIGHT-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-im-so-gay-i-cant-even-drive-straight-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/Bv9XtQcL/SKU20240413-174623-IM-SO-GAY-I-CANT-EVEN-DRIVE-STRAIGHT-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-i-park-like-an-idiot-bumper-sticker,6pcs(5IN) i park like an idiot Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_174624,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/pXmTZns5/SKU20240413-174624-I-PARK-LIKE-AN-IDIOT-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-i-park-like-an-idiot-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/fLHz7wXv/SKU20240413-174624-I-PARK-LIKE-AN-IDIOT-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-i-park-like-an-idiot-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/QtnD9fG4/SKU20240413-174624-I-PARK-LIKE-AN-IDIOT-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-be-the-person-your-dog-thinks-you-are-bumper-sticker,6pcs(5IN) be the person your dog thinks you are Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_174625,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/wjVjxcvP/SKU20240413-174625-BE-THE-PERSON-YOUR-DOG-THINKS-YOU-ARE-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-be-the-person-your-dog-thinks-you-are-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/tCzjFRjn/SKU20240413-174625-BE-THE-PERSON-YOUR-DOG-THINKS-YOU-ARE-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
