Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Included / Vietnam,Price / Vietnam,Compare At Price / Vietnam,Status
6pcs5in-i-love-people-when-they-re-sedated-bumper-sticker,6pcs(5IN) I Love People When They Re Sedated Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_193112,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/BbTRsdnG/SKU20240412-193112-I-LOVE-PEOPLE-WHEN-THEY-RE-SEDATED-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-i-love-people-when-they-re-sedated-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/x1h5x69G/SKU20240412-193112-I-LOVE-PEOPLE-WHEN-THEY-RE-SEDATED-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-i-love-people-when-they-re-sedated-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/XNtw0pR3/SKU20240412-193112-I-LOVE-PEOPLE-WHEN-THEY-RE-SEDATED-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-i-hate-morning-people-and-mornings-and-people-bumper-sticker,6pcs(5IN) I Hate Morning People and Mornings and People Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_193113,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/Wp7PBkFq/SKU20240412-193113-I-HATE-MORNING-PEOPLE-AND-MORNINGS-AND-PEOPLE-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-i-hate-morning-people-and-mornings-and-people-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/3xvfHsSf/SKU20240412-193113-I-HATE-MORNING-PEOPLE-AND-MORNINGS-AND-PEOPLE-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-i-hate-morning-people-and-mornings-and-people-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/FHNp2YSz/SKU20240412-193113-I-HATE-MORNING-PEOPLE-AND-MORNINGS-AND-PEOPLE-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-i-used-to-be-a-people-person-but-people-ruined-it-for-me-bumper-sticker,6pcs(5IN) I Used to Be A People Person But People Ruined It for me Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_193114,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/XvZChWsX/SKU20240412-193114-I-USED-TO-BE-A-PEOPLE-PERSON-BUT-PEOPLE-RUINED-IT-FOR-ME-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-i-used-to-be-a-people-person-but-people-ruined-it-for-me-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/c4s8WwFp/SKU20240412-193114-I-USED-TO-BE-A-PEOPLE-PERSON-BUT-PEOPLE-RUINED-IT-FOR-ME-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-i-used-to-be-a-people-person-but-people-ruined-it-for-me-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/TY42sDFq/SKU20240412-193114-I-USED-TO-BE-A-PEOPLE-PERSON-BUT-PEOPLE-RUINED-IT-FOR-ME-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-emotional-support-water-bottle-bumper-sticker,6pcs(5IN) Emotional Support Water Bottle Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_193116,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/5N6b8tyH/SKU20240412-193116-EMOTIONAL-SUPPORT-WATER-BOTTLE-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-emotional-support-water-bottle-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/gcBPcPsG/SKU20240412-193116-EMOTIONAL-SUPPORT-WATER-BOTTLE-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-emotional-support-water-bottle-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/htLwmFLz/SKU20240412-193116-EMOTIONAL-SUPPORT-WATER-BOTTLE-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-sorry-i-dont-have-enough-time-or-crayons-to-explain-it-to-you-bumper-sticker,6pcs(5IN) Sorry I Don't Have Enough Time Or Crayons to Explain It to You Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_193117,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/q7bdtVrc/SKU20240412-193117-SORRY-I-DONT-HAVE-ENOUGH-TIME-OR-CRAYONS-TO-EXPLAIN-IT-TO-YOU-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-sorry-i-dont-have-enough-time-or-crayons-to-explain-it-to-you-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/XYLRhSrM/SKU20240412-193117-SORRY-I-DONT-HAVE-ENOUGH-TIME-OR-CRAYONS-TO-EXPLAIN-IT-TO-YOU-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-sorry-i-dont-have-enough-time-or-crayons-to-explain-it-to-you-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/zf9020FZ/SKU20240412-193117-SORRY-I-DONT-HAVE-ENOUGH-TIME-OR-CRAYONS-TO-EXPLAIN-IT-TO-YOU-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-its-ok-to-not-be-ok-bumper-sticker,6pcs(5IN) It's ok to not be ok Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_193118,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/Kz8vVDGf/SKU20240412-193118-ITS-OK-TO-NOT-BE-OK-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-its-ok-to-not-be-ok-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/MKVM1tvf/SKU20240412-193118-ITS-OK-TO-NOT-BE-OK-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-its-ok-to-not-be-ok-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/7h76MYYr/SKU20240412-193118-ITS-OK-TO-NOT-BE-OK-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-yes-its-cool-no-im-not-going-to-paint-it-bumper-sticker,"6pcs(5IN) Yes, Its Cool. No, I'm Not Going to Paint It Bumper Sticker",6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_193119,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/2y4kLc2z/SKU20240412-193119-YES-ITS-COOL-NO-IM-NOT-GOING-TO-PAINT-IT-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-yes-its-cool-no-im-not-going-to-paint-it-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/pTjx3cND/SKU20240412-193119-YES-ITS-COOL-NO-IM-NOT-GOING-TO-PAINT-IT-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
