Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Included / Vietnam,Price / Vietnam,Compare At Price / Vietnam,Status
6pcs5in-eat-well-travel-often-bumper-sticker,6pcs(5IN) Eat Well Travel Often Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175309,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/3NQhrgQM/SKU20240412-175309-EAT-WELL-TRAVEL-OFTEN-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-eat-well-travel-often-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/c4sqD1sc/SKU20240412-175309-EAT-WELL-TRAVEL-OFTEN-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-eat-well-travel-often-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/T3p4SpBn/SKU20240412-175309-EAT-WELL-TRAVEL-OFTEN-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-catch-flights-not-feelings-bumper-sticker,6pcs(5IN) Catch Flights Not Feelings Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175310,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/9FNxGcz0/SKU20240412-175310-CATCH-FLIGHTS-NOT-FEELINGS-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-catch-flights-not-feelings-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/L67TJv0Z/SKU20240412-175310-CATCH-FLIGHTS-NOT-FEELINGS-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-catch-flights-not-feelings-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/Dzh1GNQm/SKU20240412-175310-CATCH-FLIGHTS-NOT-FEELINGS-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-living-life-to-the-fullest-bumper-sticker,6pcs(5IN) Living Life to The Fullest! Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175311,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/wj8NKrGF/SKU20240412-175311-LIVING-LIFE-TO-THE-FULLEST-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-living-life-to-the-fullest-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/kgvvT9gW/SKU20240412-175311-LIVING-LIFE-TO-THE-FULLEST-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-living-life-to-the-fullest-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/pVKhfCTF/SKU20240412-175311-LIVING-LIFE-TO-THE-FULLEST-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-oh-baby-its-a-wild-world-bumper-sticker,"6pcs(5IN) Oh Baby, It's A Wild World Bumper Sticker",6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175312,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/vHByY8pZ/SKU20240412-175312-OH-BABY-ITS-A-WILD-WORLD-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-oh-baby-its-a-wild-world-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/nhD6rXTp/SKU20240412-175312-OH-BABY-ITS-A-WILD-WORLD-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-oh-baby-its-a-wild-world-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/52BnDLnY/SKU20240412-175312-OH-BABY-ITS-A-WILD-WORLD-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-were-all-mad-here-bumper-sticker,6pcs(5IN) We're All Mad Here Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175313,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/jdz1YpjS/SKU20240412-175313-WERE-ALL-MAD-HERE-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-were-all-mad-here-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/5tjpyTfv/SKU20240412-175313-WERE-ALL-MAD-HERE-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-were-all-mad-here-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/prBKqJ2R/SKU20240412-175313-WERE-ALL-MAD-HERE-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-may-the-bridges-i-burn--light-the-way-bumper-sticker,6pcs(5IN) May The Bridges I Burn  light the way Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175314,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/2jTq96Qk/SKU20240412-175314-MAY-THE-BRIDGES-I-BURN-LIGHT-THE-WAY-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-may-the-bridges-i-burn--light-the-way-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/VNjvqLsc/SKU20240412-175314-MAY-THE-BRIDGES-I-BURN-LIGHT-THE-WAY-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-may-the-bridges-i-burn--light-the-way-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/MH4zkhZD/SKU20240412-175314-MAY-THE-BRIDGES-I-BURN-LIGHT-THE-WAY-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-that-wasnt-very-cash-money-of-you-bumper-sticker,6pcs(5IN) That Wasn't Very Cash Money of You Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175315,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/Gprd1PRZ/SKU20240412-175315-THAT-WASNT-VERY-CASH-MONEY-OF-YOU-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-that-wasnt-very-cash-money-of-you-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/fRsRwQj2/SKU20240412-175315-THAT-WASNT-VERY-CASH-MONEY-OF-YOU-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-that-wasnt-very-cash-money-of-you-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/3wd5ht6f/SKU20240412-175315-THAT-WASNT-VERY-CASH-MONEY-OF-YOU-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-one-mental-breakdown-later-bumper-sticker,6pcs(5IN) One Mental Breakdown Later Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175316,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/8Cq3SNLs/SKU20240412-175316-ONE-MENTAL-BREAKDOWN-LATER-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-one-mental-breakdown-later-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/D07xvZ0f/SKU20240412-175316-ONE-MENTAL-BREAKDOWN-LATER-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-one-mental-breakdown-later-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/ZYjcPJ03/SKU20240412-175316-ONE-MENTAL-BREAKDOWN-LATER-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-hold-on-let-me-overthink-this-bumper-sticker,"6pcs(5IN) Hold On, Let Me Overthink This Bumper Sticker",6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175317,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/L4ytYv03/SKU20240412-175317-HOLD-ON-LET-ME-OVERTHINK-THIS-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-hold-on-let-me-overthink-this-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/sxt1PBWs/SKU20240412-175317-HOLD-ON-LET-ME-OVERTHINK-THIS-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-hold-on-let-me-overthink-this-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/1XN3z9jT/SKU20240412-175317-HOLD-ON-LET-ME-OVERTHINK-THIS-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-you-are-loved-matter-how-you-feel-bumper-sticker,6pcs(5IN) You are Loved matter how you feel Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175318,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/g24XQ0Fq/SKU20240412-175318-YOU-ARE-LOVED-MATTER-HOW-YOU-FEEL-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-you-are-loved-matter-how-you-feel-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/zv5qqnTL/SKU20240412-175318-YOU-ARE-LOVED-MATTER-HOW-YOU-FEEL-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-you-are-loved-matter-how-you-feel-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/kGnP07dK/SKU20240412-175318-YOU-ARE-LOVED-MATTER-HOW-YOU-FEEL-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-as-i-know-im-delightful-bumper-sticker,6pcs(5IN) As I Know I'm Delightful Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175319,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/s2p8sbmc/SKU20240412-175319-AS-I-KNOW-IM-DELIGHTFUL-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-as-i-know-im-delightful-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/tTBBgbxh/SKU20240412-175319-AS-I-KNOW-IM-DELIGHTFUL-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-as-i-know-im-delightful-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/bJrQ3tZt/SKU20240412-175319-AS-I-KNOW-IM-DELIGHTFUL-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-youre-gonna-need-a-bigger-boat-bumper-sticker,6pcs(5IN) You're Gonna Need A Bigger Boat Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175320,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/rF1Qd5xV/SKU20240412-175320-YOURE-GONNA-NEED-A-BIGGER-BOAT-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-youre-gonna-need-a-bigger-boat-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/Gm9T0CcW/SKU20240412-175320-YOURE-GONNA-NEED-A-BIGGER-BOAT-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-youre-gonna-need-a-bigger-boat-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/bwb8SCLG/SKU20240412-175320-YOURE-GONNA-NEED-A-BIGGER-BOAT-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-sorry-i-have-a-girlfriend-bumper-sticker,6pcs(5IN) Sorry I Have a Girlfriend Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175321,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/wjVzky8H/SKU20240412-175321-SORRY-I-HAVE-A-GIRLFRIEND-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-sorry-i-have-a-girlfriend-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/nVvP78tf/SKU20240412-175321-SORRY-I-HAVE-A-GIRLFRIEND-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-sorry-i-have-a-girlfriend-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/CMN4Swg5/SKU20240412-175321-SORRY-I-HAVE-A-GIRLFRIEND-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-theres-nothing-as-amazing-as-a-musical-bumper-sticker,6pcs(5IN) There's Nothing As Amazing As A Musical! Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175322,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/bN4Sj5sd/SKU20240412-175322-THERES-NOTHING-AS-AMAZING-AS-A-MUSICAL-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-theres-nothing-as-amazing-as-a-musical-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/ZRDKx9N0/SKU20240412-175322-THERES-NOTHING-AS-AMAZING-AS-A-MUSICAL-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-theres-nothing-as-amazing-as-a-musical-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/bJGdMHp1/SKU20240412-175322-THERES-NOTHING-AS-AMAZING-AS-A-MUSICAL-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-you-are-so-loved-bumper-sticker,6pcs(5IN) You are So Loved Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175323,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/XNk0WBq5/SKU20240412-175323-YOU-ARE-SO-LOVED-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-you-are-so-loved-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/QtDnYSpy/SKU20240412-175323-YOU-ARE-SO-LOVED-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-you-are-so-loved-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/d0w8zfxr/SKU20240412-175323-YOU-ARE-SO-LOVED-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-decisions-are-made-by-those-who-show-up-bumper-sticker,6pcs(5IN) Decisions are made by those who show up Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175324,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/VkBGhpRP/SKU20240412-175324-DECISIONS-ARE-MADE-BY-THOSE-WHO-SHOW-UP-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-decisions-are-made-by-those-who-show-up-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/LXr353TV/SKU20240412-175324-DECISIONS-ARE-MADE-BY-THOSE-WHO-SHOW-UP-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-decisions-are-made-by-those-who-show-up-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/VkGM5Fsb/SKU20240412-175324-DECISIONS-ARE-MADE-BY-THOSE-WHO-SHOW-UP-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-i-am-fearfully-and-wonderfully-made-bumper-sticker,6pcs(5IN) I am Fearfully and Wonderfully Made Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240412_175325,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/Qx6Vqx22/SKU20240412-175325-I-AM-FEARFULLY-AND-WONDERFULLY-MADE-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-i-am-fearfully-and-wonderfully-made-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/prWzpcjz/SKU20240412-175325-I-AM-FEARFULLY-AND-WONDERFULLY-MADE-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-i-am-fearfully-and-wonderfully-made-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/y8m1b1t6/SKU20240412-175325-I-AM-FEARFULLY-AND-WONDERFULLY-MADE-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
