SKU,Name1,Name2
SKU20240412_175309_EAT WELL TRAVEL OFTEN,EAT WELL,TRAVEL OFTEN
SKU20240412_175310_CATCH FLIGHTS NOT FEELINGS,CATCH FLIGHTS,NOT FEELINGS
SKU20240412_175311_LIVING LIFE TO THE FULLEST,LIVING LIFE TO,THE FULLEST!
SKU20240412_175312_OH BABY ITS A WILD WORLD,"OH BABY, IT'S A",WILD WORLD
SKU20240412_175313_WERE ALL MAD HERE,WE'RE ALL,MAD HERE
SKU20240412_175314_MAY THE BRIDGES I BURN LIGHT THE WAY,MAY THE BRIDGES I,BURN LIGHT THE WAY
SKU20240412_175315_THAT WASNT VERY CASH MONEY OF YOU,THAT WASN'T VERY,CASH MONEY OF YOU
SKU20240412_175316_ONE MENTAL BREAKDOWN LATER,ONE MENTAL,BREAKDOWN LATER
SKU20240412_175317_HOLD ON LET ME OVERTHINK THIS,"HOLD ON, LET ME",OVERTHINK THIS
SKU20240412_175318_YOU ARE LOVED MATTER HOW YOU FEEL,YOU ARE LOVED,MATTER HOW YOU FEEL
SKU20240412_175319_AS I KNOW IM DELIGHTFUL,AS I KNOW I'M,DELIGHTFUL
SKU20240412_175320_YOURE GONNA NEED A BIGGER BOAT,YOU'RE GONNA NEED,A BIGGER BOAT
SKU20240412_175321_SORRY I HAVE A GIRLFRIEND,SORRY I HAVE A,GIRLFRIEND
SKU20240412_175322_THERES NOTHING AS AMAZING AS A MUSICAL,THERE'S NOTHING AS,AMAZING AS A MUSICAL!
SKU20240412_175323_YOU ARE SO LOVED,YOU ARE SO,LOVED
SKU20240412_175324_DECISIONS ARE MADE BY THOSE WHO SHOW UP,DECISIONS ARE MADE BY,THOSE WHO SHOW UP
SKU20240412_175325_I AM FEARFULLY AND WONDERFULLY MADE,I AM FEARFULLY AND,WONDERFULLY MADE
SKU20240412_175326_EVEN THE DARKEST NIGHT WILL END AND THE SUN WILL RISE,EVEN THE DARKEST NIGHT WILL,END AND THE SUN WILL RISE
SKU20240412_175327_IM SO FRICKIN PISSED,I'M SO,FRICKIN PISSED
SKU20240412_175328_TOMORROW IS ALWAYS FRESH WITH NO MISTAKES IN IT YET,"TOMORROW IS ALWAYS FRESH,",WITH NO MISTAKES IN IT YET
SKU20240412_175329_ADVENTURE BEFORE DEMENTIA,ADVENTURE,BEFORE DEMENTIA
SKU20240412_175330_BURDERED WITH GLORIOUS PURPOSE,BURDERED WITH,GLORIOUS PURPOSE
SKU20240412_175331_I SURVIVED ANOTHER MEETING THAT SHOULD HAVE BEEN AN EMAIL,I SURVIVED ANOTHER MEETING,THAT SHOULD HAVE BEEN AN EMAIL
SKU20240412_175332_NEVERTHELESS SHE PERSISTED,"NEVERTHELESS,",SHE PERSISTED
SKU20240412_175333_HISTORY HUH BET WE COULD MAKE SOME,"HISTORY, HUH? BET WE",COULD MAKE SOME
SKU20240412_175334_ONLY GOD CAN JUDGE ME,ONLY GOD CAN,JUDGE ME
SKU20240412_175335_I LIVE MY LIFE A QUARTER MILE AT A TIME,I LIVE MY LIFE A,QUARTER MILE AT A TIME
SKU20240412_175336_THE QUESTION ISNT WHO IS GOING TO LET ME,THE QUESTION ISN'T WHO,IS GOING TO LET ME
SKU20240412_175338_ITS NOT A HOBBY ITS A POST APOCALYPTIC LIFE SKILL,IT'S NOT A HOBBY IT'S A,POST APOCALYPTIC LIFE SKILL
SKU20240412_175339_LOOK AT ME IM THE CAPTAIN NOW,LOOK AT ME. I'M,THE CAPTAIN NOW
SKU20240412_175340_I AM UNTETHERED AND MY RAGE KNOWS NO BOUNDS,I AM UNTETHERED AND MY,RAGE KNOWS NO BOUNDS!
SKU20240412_175341_I HAVE A COMPETITION IN ME,I HAVE A,COMPETITION IN ME
SKU20240412_175342_IM BURDENED WITH GLORIOUS PURPOSE,I'M BURDENED WITH,GLORIOUS PURPOSE
SKU20240412_175343_FRESH AIR IS FOR DEAD PEOPLE,FRESH AIR IS FOR,DEAD PEOPLE
SKU20240412_175344_IT IS WELL WITH MY SOUL,IT IS WELL,WITH MY SOUL
SKU20240412_175345_SUNSHINE MIXED WITH A LITTLE HURRICANE,SUNSHINE MIXED WITH A,LITTLE HURRICANE
SKU20240412_175346_PERHAPS YOU WERE MADE FOR SUCH A TIME AS THIS,PERHAPS YOU WERE MADE,FOR SUCH A TIME AS THIS
SKU20240412_175347_GET IN LOSER WERE GOING SHOPPING,GET IN LOSER WE'RE,GOING SHOPPING
SKU20240412_175348_BE STILL AND KNOW THAT I AM GOD,BE STILL AND KNOW,THAT I AM GOD
SKU20240412_175349_GUNS DONT KILL PEOPLE PEOPLE KILL PEOPLE,"GUNS DON'T KILL PEOPLE,",PEOPLE KILL PEOPLE
SKU20240412_175350_FOCUS ON THE PROCESS AND RESULTS WILL COME,FOCUS ON THE PROCESS,AND RESULTS WILL COME
SKU20240412_175351_NOBODY CARES WORK HARDER,NOBODY CARES,WORK HARDER
SKU20240412_175352_IF YOURE GOING THROUGH HELL KEEP GOING,IF YOU'RE GOING,THROUGH HELL KEEP GOING
SKU20240412_175353_THE FORCE IS STRONG WITH THIS ONE,THE FORCE IS,STRONG WITH THIS ONE
SKU20240412_175354_WHEN I AM AFRAID I PUT MY TRUST IN YOU,WHEN I AM AFRAID I,PUT MY TRUST IN YOU
SKU20240412_175355_FAITH IT TILL YOU MAKE IT,FAITH IT TILL,YOU MAKE IT
SKU20240412_175356_IF THE STARS WERE MADE TO WORSHIP SO WILL I,IF THE STARS WERE MADE,TO WORSHIP SO WILL I
SKU20240412_175357_I LOVE YOU TO THE MOON AND BACK,I LOVE YOU TO THE,MOON AND BACK
SKU20240412_175358_I STAB PEOPLE FOR A LIVING,I STAB PEOPLE,FOR A LIVING
SKU20240412_175359_I WILL STAB YOU,I WILL,STAB YOU
